category,attraction,description,address,image,date,price
역사,21_21 DESIGN SIGHT,도쿄 미드타운 내에 위치한 일본을 대표하는 디자인 전문 미술관,"Midtown Garden, Tokyo Midtown, 9-7-6 Akasaka, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646017655/tokyo/M_00610_001",,1200
역사,EPSON teamLab 보더리스: 모리빌딩 디지털 아트 뮤지엄,도쿄만에서 경험하는 다감각 디지털 아트 - teamLab Borderless,"Azabudai Hills Garden Plaza B B1 1-2-4 Azabudai, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1709107973/tokyo/Tokyo_s2023_ID2_1",,3200
랜드마크,Japan Olympic Museum,세계 올림픽의 유산을 생생하게 체험할 수 있는 현대적인 박물관,"4-2 Kasumigaokamachi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1599788570/tokyo/Tokyo2039_main",,500
역사,NHK 방송박물관,세계 최초의 방송 전문 박물관입니다,"2-1-1 Atago, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1668667550/tokyo/Tokyo_t_id341_1",,
역사,가구라자카,일본의 전통과 프랑스의 멋이 일체가 된 거리. 신주쿠에 가깝고 세련되고 아담한 이 지역은 한때 게이샤들이 활약했던 곳입니다.,"Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938064/tokyo/Tokyo2271_3",,
역사,가네이지사원,"가네이지사원은 도쿄 우에노 공원 인근에 위치한 대표적인 불교 사찰로, 에도 시대 도쿠가와 막부와 깊은 관련을 가진 역사적 명소입니다.","1-14-11 Uenosakuragi, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516447947/tokyo/Tokyo2274_1",,
역사,가메이도텐진신사,Popular with Students and Nature Lovers alike,"3-6-1 Kameido, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938681/tokyo/Tokyo2272_3",,
랜드마크,가부키자,도쿄 최고의 가부키 무대,"4-12-15 Ginza, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1677472161/tokyo/Tokyo_t_id252_1",,
랜드마크,가부키초,"도쿄 시내 한복판에서 만나는 전투 로봇, 6층짜리 온천 시설, 작고 독특한 술집과 식당","Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936122/tokyo/Tokyo2328_10",,
자연,가사이,"이 지역은 도쿄만과 인접해 있으며, 넓은 녹지와 해양 생태를 가까이에서 체험할 수 있는 곳으로 가족 단위 방문객과 현지인 모두에게 사랑받는 힐링 명소","Edogawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1675342282/tokyo/Tokyo_s_id24_6.jpg",,
자연,가사이린카이공원,도쿄의 평온한 오아시스,"6-2-1 Rinkai-cho, Edogawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938124/tokyo/Tokyo2352_4",,
역사,간다신사,"간다신사는 도쿄 지요다구에 위치한 약 1,300년 역사의 유서 깊은 신사로, 에도(현 도쿄) 지역의 번영과 평안을 기원하는 대표적인 신사","2-16-2 Sotokanda, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936274/tokyo/Tokyo2276_2",,
축제,간다축제,"도쿄 최대 규모, 가장 흥이 넘치는 기념행사","2-16-2 Sotokanda, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517338167/tokyo/Tokyo2275_9",,
액티비티,갓파바시도구거리,"갓파바시 도구 거리는 프로, 아마추어를 불문하고 요리인에게 인기있는 장소입니다.","3-18-2 Matsugaya, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933900/tokyo/Tokyo2277_1",,
자연,고이시카와 고라쿠엔 정원,도쿄에서 가장 아름다운 일본 정원입니다. 오랜 역사와 중국의 영향을 받은 이 정원에서는 계절에 상관없이 매우 아름다운 경관을 감상할 수 있습니다.,"1-6-6 Koraku, Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937457/tokyo/Tokyo2281_2",,300
역사,고쿄,"도쿄 한복판에 위치한 일본 천황의 공식 거주지, 즉 황궁입니다.","1-1 Chiyoda, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945878/tokyo/Tokyo2229_2",,
랜드마크,고쿄 & 도쿄역,"품격 있는 황실 정원, 넓은 지하 쇼핑몰, 예술과 파인 다이닝","Chiyoda & 2-7-2 Marunouchi, Chiyoda City, TokyoMarunouchi, Chiyoda, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936386/tokyo/Tokyo2258_24",,
자연,고쿄가이엔(황거외원),A Ring of Nature and Moats around the palace,"Kokyogaien, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945878/tokyo/Tokyo2229_2",,
역사,고쿄와 그 주변,"황성 경내에서 즐기는 정원 산책, 국보 미술품 감상과 견학","Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945878/tokyo/Tokyo2229_2",,
자연,구후루카와정원,메이지 시대의 정치가 무쓰 무네미쓰(1844~1897년)의 저택이었던 구 후루카와 정원은 현재 일반에게 개방되어 있는 인기 높은 도심의 공원입니다.,"1-1-27-39 Nishigahara, Kita-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938133/tokyo/Tokyo2285_2",,150
역사,국립과학박물관,"공룡 화석, 증기 엔진, 아이들을 위한 체험 공간과 신비한 것들로 가득한 박물관","7-20 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1666262315/tokyo/Tokyo_t_id195_3",,630
랜드마크,국립극장,"일본 전통 공연 예술의 중심지로, 가부키, 분라쿠, 일본 무용 등 다양한 전통 예술을 체험할 수 있는 특별한 장소입니다. ","4-1 Hayabusa-cho, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646016777/tokyo/M_00589_002",,
역사,국립서양미술관,세계적 수준의 건축과 서양 예술,"7-7 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933980/tokyo/Tokyo2283_1",,500
랜드마크,국회의사당,The heart of Japan’s politics,"1-7-1 Nagata-cho, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513946012/tokyo/Tokyo2240_2",,
자연,기요스미정원,"기요스미 정원은 회유식 일본 정원으로 다양한 종류의 야생 조류가 날아오며, 계절의 꽃과 해송을 비롯한 각종 나무들이 연못을 중심으로 우거져 있습니다","3-3-9 Kiyosumi, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937556/tokyo/Tokyo2278_3",,150
자연,기타노마루공원,A quiet oasis in central Tokyo,"1-1 Kitanomaru Koen, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937047/tokyo/Tokyo2233_8",,
역사,긴자 & 니혼바시,브랜드 쇼핑과 풍부한 역사,"4-6-16 Ginza, Chuo City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937000/tokyo/Tokyo2225_9",,
자연,나카메구로,트렌드를 선도하는 세련된 동네이자 대표적인 벚꽃놀이 명소,"1-22-6 Kamimeguro, Meguro City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938277/tokyo/Tokyo2330_2",,
자연,나카메구로벚꽃,트렌디한 나카메구로 강변에서 느긋하게 벚꽃 구경,"2-2 Nakameguro, Meguro-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1649153121/tokyo/M_01104_001",,
액티비티,나카미세도리거리,"아사쿠사의 필수 관광 코스 중 한 곳으로서, 카미나리몬에서 센소지까지 이어지는 약 250미터 길이의 상점가","1-1-36-3 Asakusa, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1551154046/tokyo/sensoji_2.jpg",,
역사,네즈미술관,"찻집, 전통 정원, 그리고 다양한 동양 미술품 컬렉션","6-5-1 Minamiaoyama, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935188/tokyo/Tokyo2332_7",,1300
액티비티,니지마섬,"풍부한 자연, 전통 음식, 유리 아트와 세계 정상급 서핑을 즐길 수 있는 곳",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934826/tokyo/Tokyo2382_7",,
자연,다카오산,다양한 활동을 즐길 수 있는 인기 하이킹 장소,"Takao-machi, Hachioji-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935014/tokyo/Tokyo2371_3",,
역사,다카오산야쿠오인사원,"다카오산야쿠오인사원(高尾山?王院)은 도쿄 근교의 명산 다카오산 정상 부근에 위치한 유서 깊은 불교 사찰로, 산악 신앙과 텐구 신앙, 아름다운 자연 경관, 다양한 수행 체험 등으로 많은 이들에게 사랑받는 명소","2177 Takao-machi, Hachioji-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935800/tokyo/Tokyo2375_2",,
자연,다카오산자연동식물원,다카오산 산기슭에서 지역의 동식물에 대해 배울 수 있는 자연 뮤지엄,"2179 Takaomachi, Hachioji City, Tokyo 193-0844, Japan","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935372/tokyo/Tokyo2386_1",,300
역사,담배소금박물관,"담배와 소금의 역사와 문화를 폭넓게 다룹니다. 일본뿐 아니라 세계 각국의 관련 유물과 자료, 체험형 전시, 흥미로운 특별전 등으로 누구나 흥미롭게 관람할 수 있는 명소","1-16-3 Yokokawa, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517748194/tokyo/Tokyo2772_1",,100
역사,도검박물관,"일본도를 비롯한 전통 무기와 금속공예의 예술, 역사, 기술을 깊이 있게 체험할 수 있는 전문 박물관","1-12-9, Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1519784645/tokyo/Tokyo2815_3",,600
자연,도도로키계곡,도쿄에서 유일한 계곡에서 즐기는 시원한 그늘과 길들여지지 않은 본래 자연의 모습,"1-1-22 Todoroki, Setagaya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938651/tokyo/Tokyo2338_6",,
랜드마크,도요스 시장,도쿄의 역사적인 랜드마크를 위한 새로운 최첨단 시설,"6-6-1 Toyosu, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1580799690/tokyo/2034_1",,
역사,도쿄 국립근대미술관,고쿄 경내에 전시된 최첨단 미술 작품,"3-1 Kitanomaru Koen, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1650345642/tokyo/H_00490_001",,500
역사,도쿄 돔과 그 주변,"야구, 콘서트, 엔터테인먼트의 중심지 및 인근의 고풍스러운 17세기 정원","1-3-61 Koraku, Bunkyo City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1635746309/tokyo/H_00548_003",,
자연,도쿄 수도권,"멋진 등산 코스와 놀이공원, 사케 양조장, 원숭이를 만날 수 있는 도쿄 외곽 의외의 명소","2-8-1 Nishishinjuku, Shinjuku City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945700/tokyo/Tokyo2368_5",,
자연,도쿄 수족관,도쿄 디즈니 리조트 근처의 세계적인 수족관,"6-2-3 Rinkai-cho, Edogawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1675342282/tokyo/Tokyo_s_id24_1",,
축제,도쿄 재즈 페스티벌,도쿄 최대 규모의 재즈 페스티벌에서 더위 식히기,"2-34-6 Umegaoka, Setagaya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1518100073/tokyo/Tokyo2787_1",9.1-9.3,
랜드마크,도쿄 타워와 그 주변,"도쿄를 상징하는 랜드마크, 밝은 조명이 비추는 중심지, 풍부한 문화와 평화로운 에도 시대의 유산","4-2-8 Shibakoen, Minato City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938197/tokyo/Tokyo2260_1",,
역사,도쿄국립박물관,일본의 과거와 문화를 연대기 순으로 보여주는 특별한 박물관,"13-9 Ueno Park, Taito-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646308634/tokyo/M_01301_003",,1000
역사,도쿄국립신미술관,몸과 마음에 모두 최고의 시각적 자극을 선사하는 세계 최고의 전시 공간,"7-22-2 Roppongi, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1654228225/tokyo/H_00605_006",,500
축제,도쿄국제영화제,"10일간 유명 스타와 영화, 심포지엄 등 다양한 프로그램으로 롯폰기를 점령하는 국제영화제","Hibiya, Ginza, and Yurakucho in Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646307248/tokyo/M_01118_001",10.25-11.3,
랜드마크,도쿄국제포럼,"유리와 강철로 만들어 하늘 높이 솟은 내륙의 배, 다양한 행사의 무대 겸 현대 미술의 중심지","3-5-1 Marunouchi, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935309/tokyo/Tokyo2254_12",,
역사,도쿄도사진미술관,전 세계에서도 찾아보기 힘든 '사진 및 영상' 전문 미술관입니다,"Yebisu Garden Place 1-13-3 Mita, Meguro-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934961/tokyo/Tokyo2255_2",,500
랜드마크,도쿄도정원미술관,"현재의 도쿄도 정원 미술관은, 아사카노미야 야스히코 왕이 1930년에 프랑스에서 귀국한 후에 건설한 역사 깊은 대저택입니다.","5-21-9 Shirokanedai, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935316/tokyo/Tokyo2341_1",,1100
랜드마크,도쿄도청,도쿄에서 가장 붐비는 복합 시설에서 감상하는 도시의 장관,"2-8-1 Nishishinjuku, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936431/tokyo/Tokyo2323_2",,
역사,도쿄도현대미술관,"일본 최대 규모의 현대미술 전문 미술관으로, 1945년 이후 일본과 세계의 현대미술을 폭넓게 소개하는 대표적인 문화 명소","4-1-1 Miyoshi, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1668486615/tokyo/Tokyo_t_id306_1",,500
랜드마크,도쿄돔,도쿄 중심부의 거대한 경기장와 엔터테인먼트 단지,"1-3-61 Koraku, Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1635746309/tokyo/H_00548_003",,
축제,도쿄마라톤,"세계 최고의 육상 선수, 괴짜 시합 마니아를 비롯한 수만 명의 참가자가 몰리는 아시아 유일의 대규모...",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646305609/tokyo/M_01103_004",3.3,
