카테고리,명소,설명,주소,이미지,날짜,가격
가을,이초나미키가로수길,아오야마와 메이지 진구 가이엔 공원을 연결하는 황금빛 나무의 통로,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938563/tokyo/Tokyo2326_1",,
계절 행사,하마리큐 은사정원 벚꽃,평온한 정원에서 조명을 받아 빛나는 벚꽃,"1-1 Hamarikyuteien, Chuo-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936322/tokyo/Tokyo2359_1",,300
신사,스이텐구신사,,"2-4-1 Nihonbashi Hongoku-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516735407/fukuoka/Fukuoka1628_1",,
과학박물관,국립과학박물관,"공룡 화석, 증기 엔진, 아이들을 위한 체험 공간과 신비한 것들로 가득한 박물관","7-20 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1666262315/tokyo/Tokyo_t_id195_3",,630
국립박물관,도쿄국립박물관,일본의 과거와 문화를 연대기 순으로 보여주는 특별한 박물관,"13-9 Ueno Park, Taito-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646308634/tokyo/M_01301_003",,1000
정원,고쿄가이엔(황거외원),A Ring of Nature and Moats around the palace,"Kokyogaien, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945878/tokyo/Tokyo2229_2",,
역사적 건축물,일본은행본점,Century-old architecture for the history buffs,"2-1-1 Nihonbashi Hongoku-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933652/tokyo/Tokyo2220_1",,
여름,산노축제,기념 축제와 도쿄식 숭배의식,"2-10-5 Nagata-cho, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516447629/tokyo/Tokyo2248_2",,
아트 축제,도쿄국제영화제,"10일간 유명 스타와 영화, 심포지엄 등 다양한 프로그램으로 롯폰기를 점령하는 국제영화제","Hibiya, Ginza, and Yurakucho in Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646307248/tokyo/M_01118_001",10.25-11.3,
명소,도쿄증권거래소,The engine that drives Tokyo's great economy,"2-1 Nihonbashi Kabuto-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1692850096/tokyo/Tokyo_t2023_M_01117_1_edit3",,
봄,간다축제,"도쿄 최대 규모, 가장 흥이 넘치는 기념행사","2-16-2 Sotokanda, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517338167/tokyo/Tokyo2275_9",,
쇼핑가,갓파바시도구거리,Tokyo's Kitchenware Paradise,"3-18-2 Matsugaya, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933900/tokyo/Tokyo2277_1",,
국립미술관,국립서양미술관,세계적 수준의 건축과 서양 예술,"7-7 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933980/tokyo/Tokyo2283_1",,500
불꽃놀이,스미다가와불꽃축제,다채로운 여름날 저녁,"Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934431/tokyo/Tokyo2299_3",7.28,
스포츠 대회,도쿄스모경기,도쿄에서 스모를 직관할 수 있는 절호의 기회,"1-3-28 Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933954/tokyo/Tokyo2293_8",1.13-1.27,3800
전망대,선샤인 시티,인기 있는 엔터테인먼트 중심지 선샤인 시티의 일부로 우뚝 솟은 도쿄의 랜드마크,"3-1 Higashiikebukuro, Toshima-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1647834380/tokyo/M_01108_001",,
가을,아사쿠사도리노이치,복을 긁어모으러 아사쿠사 도리노이치 축제로,"3-19-6 Senzoku, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938296/tokyo/Tokyo2311_11","11.1, 11.13, 11.15",
전망대,도쿄도청,도쿄에서 가장 붐비는 복합 시설에서 감상하는 도시의 장관,"2-8-1 Nishishinjuku, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936431/tokyo/Tokyo2323_2",,
봄,나카메구로벚꽃,트렌디한 나카메구로 강변에서 느긋하게 벚꽃 구경,"2-2 Nakameguro, Meguro-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1649153121/tokyo/M_01104_001",,
스포츠 대회,도쿄마라톤,"세계 최고의 육상 선수, 괴짜 시합 마니아를 비롯한 수만 명의 참가자가 몰리는 아시아 유일의 대규모...",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646305609/tokyo/M_01103_004",3.3,
겨울,아코의사제,전설이 된 충성스러운 무사들을 기리는 유서 깊은 축제,"2-11-1 Takanawa, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517190635/tokyo/Tokyo2662_1",12.14,
경치 좋은 야경,레인보우브리지,오다이바와 시바우라 부두를 연결하며 관광 명소로 자리 잡은 레인보우 브리지와 조명,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945790/tokyo/Tokyo2358_1",,
이웃,시오도메,New Town on the Block,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516449041/tokyo/Tokyo2361_5",,
가을,도쿄모터쇼,"자동차 마니아의 천국, 특별 시운전 체험까지","3-11-1 Ariake, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1653021050/tokyo/M_01093_002",,
스쿠버 다이빙 & 스노클링,오가사와라제도,생태 관광의 명소로 때 묻지 않은 천연의 해변과 수상 어드벤처 스포츠로 유명한 태평양 한복판의 외딴...,"Ogasawara Islands, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934416/tokyo/Tokyo2379_9",,
극장,신국립극장도쿄,"세계 최고의 환경에서 오페라, 연극, 발레의 장엄함 체험하기","1-1-1 Hon-machi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1526623428/tokyo/newnationaltheatre_01",,
역사적 건축물,영빈관아카사카별궁,Tour this opulent palace where Japan welcomes heads of ...,"2-1-1 Moto-Akasaka, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1525674337/tokyo/akasaka_state_palace04",,
이웃,아카사카,This high-class business district offers both internati...,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1644986187/tokyo/Tokyo1737_1",,
서핑,이즈제도,"비교적 덜 알려진 도쿄 도내 다도해의 깊은 숲과 화산성 온천, 해양 스포츠",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934387/tokyo/Tokyo2382_1",,
자연,오쿠타마,산이 많은 도쿄 뒷마당으로 가벼운 도시 탈출 여행,"Nishitama District, Okutama, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938752/tokyo/Tokyo2368_3",,
쇼핑가,아키하바라,"아키하바라 - 오타쿠 문화, 아니메와 독특한 카페가 많은 에너지 넘치는 도심","Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516980036/tokyo/Tokyo2608_1",,
명소,시부야스크램블교차로,도쿄에서 가장 번화한 교차로,"Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516980091/tokyo/Tokyo2333_13",,
이웃,롯폰기,"도쿄 시내 고급 첨단 문화의 중심지에서 시각 미술 감상, 밤놀이 문화 탐방","Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646047672/tokyo/pixta_66466545_M",,
쇼핑가,오모테산도&아오야마,"명품 쇼핑을 원한다면 도쿄의 샹젤리제와 아오야마, 오모테산도 추천","Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937588/tokyo/Tokyo2324_4",,
쇼핑가,하라주쿠,일본 스트리트 패션의 중심지 하라주쿠는 일본에서 유행하는 패션 그 자체를 의미합니다,"Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934486/tokyo/Tokyo2324_3",,
모던 아트,팀랩 플래닛 TOKYO DMM,"A Cutting-Edge, Immersive Museum Combining the Beauty o...","6-1-16 Toyosu , Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1630477164/tokyo/Tokyo2137_main",,380
역사,고쿄와 그 주변,"황성 경내에서 즐기는 정원 산책, 국보 미술품 감상과 견학","Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945878/tokyo/Tokyo2229_2",,
수산 시장,쓰키지,"시장 상인들의 번화한 커뮤니티, 서구의 영향력을 느낄 수 있는 유적지, 유람선이 기다리는 곳","Tsukiji, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646013708/tokyo/H_00399_002",,
사원,가네이지사원,The Last Shogun made his Last Stand Here,"1-14-11 Uenosakuragi, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516447947/tokyo/Tokyo2274_1",,
공원,스미다공원,Riverside park with stunning views,"1-2-5 Mukoujima, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517190608/tokyo/Tokyo2298_5",,
이웃,우에노,"예술과 동물, 실생활이 어우러진 다채로운 즐거움","Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937117/tokyo/Tokyo2264_6",,
이웃,"얀센(야나카,네즈,센다기,혼고)","복고적인 분위기와 푸짐한 식사, 커피와 캔디 고질라를 볼 수 있는 도쿄의 구시가지","Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935482/tokyo/Tokyo2316_1",,
이웃,시부야,도쿄 최첨단 문화의 중심지,"Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936730/tokyo/Tokyo2333_3",,
이웃,시모키타자와,"바쁜 도시 생활의 완벽한 해독제, 도쿄 시내의 느긋한 창의력 표현의 장","Setagaya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934102/tokyo/Tokyo2334_1",,
문화,가사이,A Cheaper Part of Town,"Edogawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1675342282/tokyo/Tokyo_s_id24_6.jpg",,
문화,시바우라,Shibaura: An area of contrasts,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516449017/tokyo/Tokyo2360_3",,
자연,다카오산,다양한 활동을 즐길 수 있는 인기 하이킹 장소,"Takao-machi, Hachioji-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935014/tokyo/Tokyo2371_3",,
명소,워너브라더스 스튜디오 투어 도쿄 ? 더 메이킹 오브 해리 포터,,"1-1-7 Kasugacho, Nerima-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1701764333/tokyo/Tokyo_s2023_ID1_36",,6300
쇼핑,시부야 스크램블 스퀘어 ‘시부야 스카이’ 및 미야시타 파크,,"2-24-12 Shibuya, Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1676974929/tokyo/Tokyo_s_id67_8",,2000
올림픽 뮤지엄,Japan Olympic Museum,Catch the Spirit: Discover the Universal Appeal of The ...,"4-2 Kasumigaokamachi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1599788570/tokyo/Tokyo2039_main",,500
경기장,신국립 경기장,도쿄 2020 신국립 경기장,"10-1 Kasumigaokamachi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1585015947/tokyo/2037_1",,
모던 아트,EPSON teamLab 보더리스: 모리빌딩 디지털 아트 뮤지엄,도쿄만에서 경험하는 다감각 디지털 아트 - teamLab Borderless,"Azabudai Hills Garden Plaza B B1 1-2-4 Azabudai, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1709107973/tokyo/Tokyo_s2023_ID2_1",,3200
문화,도요스 시장,도쿄의 역사적인 랜드마크를 위한 새로운 최첨단 시설,"6-6-1 Toyosu, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1580799690/tokyo/2034_1",,
미술관,21_21 DESIGN SIGHT,21_21 Design Site is the ultimate design lover's fantas...,"Midtown Garden, Tokyo Midtown, 9-7-6 Akasaka, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646017655/tokyo/M_00610_001",,1200
미술관,아이다미츠오미술관,영혼이 담긴 서도(서예),"3-5-1 Marunouchi, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516745065/lazyload-placeholder_muhsz3.jpg",,1200
쇼핑센터,아카사카사카스,A Unique City Within a City,"5-3-6 Akasaka, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1644986187/tokyo/Tokyo1737_1",,
