카테고리,명소,설명,주소,이미지,날짜,가격
공원,우에노 공원(도쿄),"문화 시설, 사원, 넓은 동물원, 그리고 봄철의 벚꽃","5-20 Uenokoen, Taito-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935022/tokyo/Tokyo2315_1",,
신사,유시마텐만구신사,"Dubbed the shrine of scholars, Yushima Tenman-gu is sai...","3-30-1 Yushima, Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934753/tokyo/Tokyo2317_6",,
명소,에비스가든플레이스,From beer factory to elegant city sanctuary,"4-20-20 Ebisu, Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1707291341/tokyo/Tokyo_t2023_M_00556_1",,
명소,자연교육원,A majestic forest escape,"5-5-21-5 Shirokanedai, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1668655352/tokyo/Tokyo_t_id340_4",,
도검 박물관,도검박물관,옛 일본의 날카로운 단편,"1-12-9, Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1519784645/tokyo/Tokyo2815_3",,600
이웃,가부키초,"도쿄 시내 한복판에서 만나는 전투 로봇, 6층짜리 온천 시설, 작고 독특한 술집과 식당","Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936122/tokyo/Tokyo2328_10",,
신사,메이지진구신궁,도쿄의 최신 대중문화와 유구한 역사가 만나는 곳,"1-1 Yoyogikamizono-cho, Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945803/tokyo/Tokyo2331_8",,
미술관,네즈미술관,"찻집, 전통 정원, 그리고 다양한 동양 미술품 컬렉션","6-5-1 Minamiaoyama, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935188/tokyo/Tokyo2332_7",,1300
봄,신주쿠교엔벚꽃,도쿄 최고의 하나미(꽃놀이) 명소,"11 Naito-machi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1643269873/tokyo/IMG_2561",,500
경치 좋은 전망,신주쿠교엔,한때 황족만 볼 수 있었던 넓은 정원이 이제 도심 속 오아시스로,"11 Naito-machi, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1644482411/tokyo/H_00640_IMG_2656.jpg",,500
협곡,도도로키계곡,도쿄에서 유일한 계곡에서 즐기는 시원한 그늘과 길들여지지 않은 본래 자연의 모습,"1-1-22 Todoroki, Setagaya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938651/tokyo/Tokyo2338_6",,
가을,도쿄 재즈 페스티벌,도쿄 최대 규모의 재즈 페스티벌에서 더위 식히기,"2-34-6 Umegaoka, Setagaya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1518100073/tokyo/Tokyo2787_1",9.1-9.3,
미술관,도쿄도정원미술관,Decor to explore,"5-21-9 Shirokanedai, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935316/tokyo/Tokyo2341_1",,1100
공원,요요기공원,만인의 사랑을 받는 요요기 공원,"2-1 Yoyogikamizono-cho, Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934184/tokyo/Tokyo2342_3",,
경치 좋은 전망,하마리큐 은사정원,"대도시 한가운데 자리 잡은 오아시스, 비교적 덜 알려진 황실과 막부의 정원","1-1 Hamarikyuteien, Chuo-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936438/tokyo/Tokyo2346_2",,300
공항,하네다공항,도쿄 최초의 공항이자 가장 붐비는 공항,"3 Chome, Hanedakuko, Ota-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935287/tokyo/Tokyo2348_6",,
가을,이케가미혼몬지어회식법회,매년 30만 명의 손님이 찾는 기념 축제,"1-1-1 Ikegami, Ota-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517338253/tokyo/Tokyo2349_14",10.11-10.13,
사원,이케가미혼몬지사원,니치렌과 관련 있는 이야기가 깃든 불교 사원,"1-1-1 Ikegami, Ota-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935154/tokyo/Tokyo2349_12",,
공원,가사이린카이공원,도쿄의 평온한 오아시스,"6-2-1 Rinkai-cho, Edogawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938124/tokyo/Tokyo2352_4",,
테마파크,키자니아 도쿄,재미로 가득한 키자니아,"Urban Dock LaLaport Toyosu 1 North Port 3F, 2-4-9 Toyosu, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1645757207/tokyo/M_00541_001",,4750
과학박물관,배과학관,바다 애호가들이 열광하는 배 모양 박물관,"3-1 Higashi Yashio, Shinagawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1645757105/tokyo/M_00540_002",,600
과학박물관,일본과학미래관,전 세계 최신 기술과 새로운 발견을 선보이는 곳,"2-3-6 Aomi, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934707/tokyo/Tokyo2354_1",,620
공원,오다이바해변공원,바다 건너 펼쳐진 도쿄의 스카이라인,"1-4 Daiba, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936609/tokyo/Tokyo2355_6",,
아쿠아리움,도쿄 수족관,도쿄 디즈니 리조트 근처의 세계적인 수족관,"6-2-3 Rinkai-cho, Edogawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1675342282/tokyo/Tokyo_s_id24_1",,
사원,조조지사원,A Temple Powerhouse,"4-7-35 Shibakoen, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1645756607/tokyo/M_00534_001",,
역사,에도 도쿄 건축박물관,과거 수 세기 동안 자리를 지킨 건물들이 늘어선 골목 산책,"3-7-1 Sakura-cho, Koganei-shi, Tokyo-to (located within Koganei Park)","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1671448288/tokyo/Tokyo_t_id385_1",,400
봄,이노카시라공원벚꽃,도쿄에서 가장 예쁜 공원 겸 최고의 벚꽃놀이 명소,"1-18-31 Gotenyama, Musashino-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934855/tokyo/Tokyo2366_1",,
호수,오쿠타마호,A man-made reservoir nestled in the mountains of wester...,"Nishitama District, Okutama, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935204/tokyo/Tokyo2367_2",,
산과 고원,미타케산,인상적인 신사와 이끼로 덮인 돌 정원을 볼 수 있는 인기 하이킹 명소,"Ome-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1543475790/tokyo/1631_1",,
테마파크,산리오퓨로랜드,헬로키티를 위시한 산리오의 귀여운 캐릭터 친구들이 사는 깜찍한 세상 속으로,"1-31 Ochiai, Tama-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1648466617/tokyo/H_00547_001",,3900
공원,쇼와기념공원,A vast park filled with sites to see,"3173 Midori-cho, Tachikawa-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934781/tokyo/Tokyo2373_1",,450
맥주,산토리 도쿄 무사시노 맥주공장,현지 특산주를 맛보고 제조 과정을 살펴보세요,"3-3-1 Yazaki-cho, Fuchu-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1519784879/tokyo/Tokyo2821_2",,
야생 동물 관찰,다카오산자연동식물원,,"2179 Takaomachi, Hachioji City, Tokyo 193-0844, Japan","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935372/tokyo/Tokyo2386_1",,300
사원,다카오산야쿠오인사원,"Resting on top of Mt. Takao, Yakuo-in Temple provides r...","2177 Takao-machi, Hachioji-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935800/tokyo/Tokyo2375_2",,
테마파크,요미우리랜드,"Roller coasters, a bungee jump and more right in the mi...","4015-1 Yanokuchi, Inagi-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1644985602/tokyo/Tokyo1625_main",,1800
스쿠버 다이빙 & 스노클링,치치지마섬,"Watch whales, explore the forests and admire the stars ...","Ogasawara Islands, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935254/tokyo/Tokyo2377_2",,
스쿠버 다이빙 & 스노클링,하치조섬(하치조지마),"아열대 섬에서 즐기는 해변 온천, 해양 스포츠와 자연의 신비",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937137/tokyo/Tokyo2378_2",,
스쿠버 다이빙 & 스노클링,하하지마섬,"오염되지 않은 섬 안식처에서 트레킹, 스노클링, 그리고 슬로우 라이프 즐기기","Ogasawara Islands, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934373/tokyo/Tokyo2379_7",,
섬,이즈오섬,하이킹 코스와 더불어 흥미로운 지질 특성을 구경할 수 있는 도쿄 해안의 아열대 화산섬,"Izu Islands, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935995/tokyo/Tokyo2380_3",,
스쿠버 다이빙 & 스노클링,미야케섬(미야케지마),"아열대 화산섬에서 즐기는 하이킹, 온천, 다이빙과 돌고래 관찰",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646732908/tokyo/M_00521_010",,
서핑,니지마섬,"풍부한 자연, 전통 음식, 유리 아트와 세계 정상급 서핑을 즐길 수 있는 곳",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934826/tokyo/Tokyo2382_7",,
쇼핑,신주쿠,"본격적으로 다 내려놓고 도쿄를 즐길 수 있는 곳, 네온 조명이 환한 신주쿠","1-1-6 Nishishinjuku, Shinjuku City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945890/tokyo/Tokyo2335_10",,
섬,도쿄의 섬들,남쪽으로 갈수록 점점 더 아름다운 장관이 펼쳐지는 화산섬 행렬,"1-1-1 Kozushima-mura, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934422/tokyo/Tokyo2383_8",,
자연,도쿄 수도권,"멋진 등산 코스와 놀이공원, 사케 양조장, 원숭이를 만날 수 있는 도쿄 외곽 의외의 명소","2-8-1 Nishishinjuku, Shinjuku City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945700/tokyo/Tokyo2368_5",,
공항,하네다 공항 주변,도쿄 최초의 공항 겸 국내선 항공편의 주된 교통의 요지,"3-3-2 Hanedakuko, Ota City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935287/tokyo/Tokyo2348_6",,
명소,도쿄 타워와 그 주변,"도쿄를 상징하는 랜드마크, 밝은 조명이 비추는 중심지, 풍부한 문화와 평화로운 에도 시대의 유산","4-2-8 Shibakoen, Minato City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938197/tokyo/Tokyo2260_1",,
쇼핑,오다이바,도쿄만에 면한 쇼핑과 유흥 낙원,"1-6-1 Daiba, Minato City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936609/tokyo/Tokyo2355_6",,
명소,나카메구로,트렌드를 선도하는 세련된 동네이자 대표적인 벚꽃놀이 명소,"1-22-6 Kamimeguro, Meguro City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938277/tokyo/Tokyo2330_2",,
쇼핑가,시부야 & 시모키타자와,최첨단과 레트로 양쪽을 모두 체험할 수 있는 시부야와 시모키타자와 산책,"2-24-12 Shibuya, Shibuya City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936730/tokyo/Tokyo2333_3",,
이웃,하라주쿠 & 오모테산도,도쿄 시내에 서로 어깨를 맞댄 교외 지역과 패션 천국,"1-19-13 Jingumae, Shibuya City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516980080/tokyo/Tokyo2324_6",,
명소,이케부쿠로,의외의 색다른 대중문화의 한 측면과 훌륭한 정원을 볼 수 있는 재미난 여행지 이케부쿠로,"1-28-2 Higashiikebukuro, Toshima City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516728972/tokyo/Tokyo2270_8",,
명소,도쿄 돔과 그 주변,"야구, 콘서트, 엔터테인먼트의 중심지 및 인근의 고풍스러운 17세기 정원,","1-3-61 Koraku, Bunkyo City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1635746309/tokyo/H_00548_003",,
문화,료고쿠,스모의 고향이자 복고의 매력으로 유명한 곳,"1-3-28 Yokoami, Sumida City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934437/tokyo/Tokyo2293_10",,
,아사쿠사,"고색창연한 센소지부터 현대적인 도쿄 스카이트리까지, 과거와 현재가 어우러진 아사쿠사","2-3-1 Asakusa, Taito City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646013222/tokyo/H_00498_001",,
이웃,우에노 & 아키하바라,"랜드마크 공원과 동물원, 문화예술과 강렬한 팝 컬처의 만남","8-36 Ueno Park, Taito City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937406/tokyo/Tokyo2264_4",,
나이트라이프,롯폰기 & 아카사카,재일 외국인들이 많이 찾는 도쿄 최고의 유흥 및 문화생활의 중심지,"6-10-1 Roppongi, Minato City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936599/tokyo/Tokyo2247_9",,
이웃,긴자 & 니혼바시,브랜드 쇼핑과 풍부한 역사,"4-6-16 Ginza, Chuo City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513937000/tokyo/Tokyo2225_9",,
명소,고쿄 & 도쿄역,"품격 있는 황실 정원, 넓은 지하 쇼핑몰, 예술과 파인 다이닝","Chiyoda & 2-7-2 Marunouchi, Chiyoda City, TokyoMarunouchi, Chiyoda, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936386/tokyo/Tokyo2258_24",,
